id,link_id,genus,species,sex,category,trait,value,reference,credit,email,notes,,
,Megachile_apicalis_5,Megachile,Megachile apicalis,,Behaviour,Voltinism,Univoltine,http://www.discoverlife.org/20/q?search=Megachile+apicalis,Andrej Gogala,xmiguelangelcolladox@gmail.com,,,
,Osmia_aurulenta_1,Osmia,Osmia aurulenta,,Behaviour,Nest material,Shell,https://twitter.com/JWentomologist/status/727891157615837184,John Walters,xmiguelangelcolladox@gmail.com,Osmia aurulenta using snail shell to nest,,
,Osmia_aurulenta_2,Osmia,Osmia aurulenta,,Behaviour,Voltinism,Univoltine,,,xmiguelangelcolladox@gmail.com,,,
,Osmia_aurulenta_3,Osmia,Osmia aurulenta,,Behaviour,Nest building,Soil,http://www.bwars.com/bee/megachilidae/osmia-aurulenta,G R Else,xmiguelangelcolladox@gmail.com, The bee is also reported to nest in burrows in soil (Smith 1855),,
,Osmia_bicolor_1,Osmia,Osmia bicolor,,Behaviour,Nest material,Shell,http://www.bwars.com/bee/megachilidae/osmia-bicolor,G R Else,xmiguelangelcolladox@gmail.com,Females establish their nests in empty snail shells. including those of Helix pomatia. Cepaea nemoralis. C. hortensis and Monacha cantiana.,,
,Osmia_bicolor_2,Osmia,Osmia bicolor,,Behaviour,Brood cell,4,http://www.bwars.com/bee/megachilidae/osmia-bicolor,G R Else,xmiguelangelcolladox@gmail.com,Nests contain about four or five cells. depending on the size of shell used.,,
,Osmia_bicolor_3,Osmia,Osmia bicolor,,Behaviour,Brood cell,5,http://www.bwars.com/bee/megachilidae/osmia-bicolor,G R Else,xmiguelangelcolladox@gmail.com,Nests contain about four or five cells. depending on the size of shell used.,,
,Osmia_bicolor_4,Osmia,Osmia bicolor,Male,Behaviour,Sleep,Shell,http://www.bwars.com/bee/megachilidae/osmia-bicolor,G R Else,xmiguelangelcolladox@gmail.com,Males have been found sheltering in empty snail shells during periods of inclement weather (G R Else. pers. obs.).,,
,Osmia_bicolor_5,Osmia,Osmia bicolor,,Behaviour,Brood cell,Leaf,http://www.bwars.com/bee/megachilidae/osmia-bicolor,G R Else,xmiguelangelcolladox@gmail.com,Nests contain about four or five cells. depending on the size of shell used.,,
,Osmia_bicolor_6,Osmia,Osmia bicolor,,Behaviour,Voltinism,Univoltine,http://www.bwars.com/bee/megachilidae/osmia-bicolor,G R Else,xmiguelangelcolladox@gmail.com,,,
,Osmia_bicolor_7,Osmia,Osmia bicolor,,Behaviour,Nest building,Stones,http://animalandia.educa.madrid.org/ficha.php?id=4457,Pedro Romero,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Osmia_bicornis_5,Osmia,Osmia bicornis,,Behaviour,Nest material,PVC,http://beediverse.com/blog/?p=2010,Margriet Dogterom,xmiguelangelcolladox@gmail.com,Osmia bicornis coccoons cleaned from a white PVC house,,
,Osmia_bicornis_2,Osmia,Osmia bicornis,,Behaviour,Nest building,Wood,http://davehubbleecology.blogspot.com.es/2013_06_01_archive.html,Dave Hubble,xmiguelangelcolladox@gmail.com,Nest Attached between a hoe and and the inside of a tool shed,,
,Osmia_bicornis_3,Osmia,Osmia bicornis,,Behaviour,Nest material,Table,http://www.opalexplorenature.org/beehotels#/2,OPAL,xmiguelangelcolladox@gmail.com,Osmia bicornis sealing a nest in a chair leg,,
,Osmia_bicornis_4,Osmia,Osmia bicornis,,Behaviour,Nest material,Brick,http://cuartodechismes.blogspot.com.es/2010/07/casas-rurales-de-la-subbetica.html,Antonio Manuel Jiménez Conejo,xmiguelangelcolladox@gmail.com,Osmia bicornis nesting in bricks,,
,Osmia_bicornis_8,Osmia,Osmia bicornis,,Morphology,Intertegular span,3.451,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Osmia_bicornis_5,Osmia ,Osmia bicornis,,Behaviour,Nest material,Cardboard,https://twitter.com/Rob__Fowler/status/474098475161092096/photo/1,Rob Fowler,xmiguelangelcolladox@gmail.com,Red mason bee using the space between cardboard tubes to nest,,
,Osmia_bicornis_6,Osmia ,Osmia bicornis,,Behaviour,Nest building,Mud,https://youtu.be/LHzwoLeRoSg,G R Else,xmiguelangelcolladox@gmail.com,Several Osmia bicornis females collecting mud with which they will seal their nest cells.,,
,Osmia_bicornis_6,Osmia ,Osmia bicornis,,Behaviour,Voltinism,Univoltine,https://youtu.be/LHzwoLeRoSg,G R Else,xmiguelangelcolladox@gmail.com,Several Osmia bicornis females collecting mud with which they will seal their nest cells.,,
,Osmia_bicornis_7,Osmia ,Osmia bicornis,,Morphology,Weight,0.0625,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Osmia_bicornis_8,Osmia ,Osmia bicornis,Male,Morphology,Intertegular span,2.62,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Huelva,3.476,
,Osmia_bicornis_9,Osmia ,Osmia bicornis,Male,Morphology,Intertegular span,2.67,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Zamora,,
,Osmia_bicornis_10,Osmia ,Osmia bicornis,Male,Morphology,Intertegular span,2.75,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_bicornis_11,Osmia ,Osmia bicornis,Male,Morphology,Intertegular span,2.65,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Salamanca,,
,Osmia_bicornis_12,Osmia ,Osmia bicornis,Male,Morphology,Intertegular span,2.36,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Zamora,,
,Osmia_bicornis_13,Osmia ,Osmia bicornis,Female,Morphology,Intertegular span,3.58,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Salamanca,,
,Osmia_bicornis_14,Osmia ,Osmia bicornis,Female,Morphology,Intertegular span,3.25,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Zamora,,
,Osmia_bicornis_15,Osmia ,Osmia bicornis,Female,Morphology,Intertegular span,3.6,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Cantabria,,
,Osmia_bicornis_16,Osmia ,Osmia bicornis,Female,Morphology,Intertegular span,3.55,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Salamanca,,
,Osmia_bicornis_17,Osmia ,Osmia bicornis,Female,Morphology,Intertegular span,3.4,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_bicolor_7,Osmia ,Osmia bicolor,,Morphology,Length,10,http://animalandia.educa.madrid.org/ficha.php?id=4457,Pedro Romero,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Bombus_bimaculatus_1,Bombus,Bombus bimaculatus,,Behaviour,Nest material,PVC,Hongjamrussilp and Warrit (2014),Hongjamrussilp and Warrit (2014),xmiguelangelcolladox@gmail.com,,,
,Bombus_bimaculatus_2,Bombus,Bombus bimaculatus,,Behaviour,Diet,Polylecty,"Medler, J. T.; Carney, D. W. 1963","Medler, J. T.; Carney, D. W.",xmiguelangelcolladox@gmail.com,"B. bimaculatus is known to pollinate a wide variety of plants, but they seem to have favorites",,
,Osmia_caerulescens_1,Osmia,Osmia caerulescens,,Behaviour,Voltinism,Bivoltine,http://www.bwars.com/bee/megachilidae/osmia-caerulescens,G R Else,xmiguelangelcolladox@gmail.com,,,
,Osmia_caerulescens_2,Osmia,Osmia caerulescens,,Behaviour,Nest material,Cane,http://www.bwars.com/bee/megachilidae/osmia-caerulescens,M A Collado,xmiguelangelcolladox@gmail.com,,,
,Osmia_caerulescens_3,Osmia,Osmia caerulescens,,Behaviour,Nest building,Mud,http://www.bwars.com/bee/megachilidae/osmia-caerulescens,M A Collado,xmiguelangelcolladox@gmail.com,Using mud to seal entrance,,
,Osmia_caerulescens_4,Osmia,Osmia caerulescens,,Behaviour,Voltinism,Bivoltine,http://www.bwars.com/bee/megachilidae/osmia-caerulescens,G R Else,xmiguelangelcolladox@gmail.com,,,
,Osmia_caerulescens_5,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.868,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,2.19975,
,Osmia_caerulescens_6,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.719,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Osmia_caerulescens_7,Osmia,Osmia caerulescens,,Morphology,Intertegular span,1.79,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_caerulescens_8,Osmia,Osmia caerulescens,,Morphology,Intertegular span,1.7,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_caerulescens_9,Osmia,Osmia caerulescens,,Morphology,Intertegular span,1.79,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Huelva,,
,Osmia_caerulescens_10,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.13,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Palencia,,
,Osmia_caerulescens_11,Osmia,Osmia caerulescens,,Morphology,Intertegular span,1.74,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_caerulescens_12,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.53,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Salamanca,,
,Osmia_caerulescens_13,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.28,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_caerulescens_14,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.49,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_caerulescens_15,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.17,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_caerulescens_16,Osmia,Osmia caerulescens,,Morphology,Intertegular span,2.19,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Panurgus_calcaratus_1,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.404,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,1.629,
,Panurgus_calcaratus_2,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.337,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_3,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.952,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_4,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.963,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_5,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.454,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_6,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.573,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_7,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.831,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_8,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.729,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_9,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.822,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_10,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.733,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_11,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.508,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_12,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.422,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_13,Panurgus,Panurgus calcaratus,,Morphology,Intertegular span,1.455,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Panurgus_calcaratus_14,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0100,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_15,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0108,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_16,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0123,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_17,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0155,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_18,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0088,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_19,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0102,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_20,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0184,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_21,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0162,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_22,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0193,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_23,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0115,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_24,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0110,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_25,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0127,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_26,Panurgus,Panurgus calcaratus,,Morphology,Weight,0.0114,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_27,Panurgus,Panurgus calcaratus,,Behaviour,Nest building,Soil,http://www.bwars.com/bee/andrenidae/panurgus-calcaratus,M Edwards,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Panurgus_calcaratus_28,Panurgus,Panurgus calcaratus,,Behaviour,Voltinism,Univoltine,http://www.bwars.com/bee/andrenidae/panurgus-calcaratus,M Edwards,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Megachile_campanulae_1,Megachile,Megachile campanulae,,Behaviour,Brood cell,Plastic,MacIvor et al 2013,Scott MacIvor,xmiguelangelcolladox@gmail.com,Uses polyurethane to build brood cells,,
,Xylocopa_cantabrita_1,Xylocopa,Xylocopa cantabrita,Male,Morphology,Intertegular span,5.198,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,5.361,
,Xylocopa_cantabrita_2,Xylocopa,Xylocopa cantabrita,Female,Morphology,Intertegular span,5.938,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Xylocopa_cantabrita_3,Xylocopa,Xylocopa cantabrita,Female,Morphology,Intertegular span,5.439,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Xylocopa_cantabrita_4,Xylocopa,Xylocopa cantabrita,Female,Morphology,Intertegular span,5.136,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Xylocopa_cantabrita_5,Xylocopa,Xylocopa cantabrita,Female,Morphology,Intertegular span,4.999,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Xylocopa_cantabrita_6,Xylocopa,Xylocopa cantabrita,,Morphology,Weight,0.3302,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Xylocopa_cantabrita_7,Xylocopa,Xylocopa cantabrita,,Morphology,Weight,0.3612,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Xylocopa_cantabrita_8,Xylocopa,Xylocopa cantabrita,,Morphology,Weight,0.3394,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Xylocopa_cantabrita_9,Xylocopa,Xylocopa cantabrita,,Morphology,Weight,0.3244,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Xylocopa_cantabrita_10,Xylocopa,Xylocopa cantabrita,,Morphology,Weight,0.2286,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Xylocopa_cantabrita_11,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.2200,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Ávila,,
,Xylocopa_cantabrita_12,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.4500,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_cantabrita_13,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.2900,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_cantabrita_14,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.3200,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_cantabrita_15,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.0600,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_cantabrita_16,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.4100,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_cantabrita_17,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.3800,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_cantabrita_18,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.4800,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Ávila,,
,Xylocopa_cantabrita_19,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.8000,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Huelva,,
,Xylocopa_cantabrita_20,Xylocopa,Xylocopa cantabrita,,Morphology,Intertegular span,5.2900,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Segovia,,
,Xylocopa_iris_1,Xylocopa,Xylocopa iris,Male,Morphology,Intertegular span,3.9500,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_iris_2,Xylocopa,Xylocopa iris,Male,Morphology,Intertegular span,3.6100,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Ávila,,
,Xylocopa_iris_3,Xylocopa,Xylocopa iris,Male,Morphology,Intertegular span,3.5000,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_iris_4,Xylocopa,Xylocopa iris,Male,Morphology,Intertegular span,3.6300,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Ávila,,
,Xylocopa_iris_5,Xylocopa,Xylocopa iris,Male,Morphology,Intertegular span,3.9100,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_iris_6,Xylocopa,Xylocopa iris,Female,Morphology,Intertegular span,3.5800,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_iris_7,Xylocopa,Xylocopa iris,Female,Morphology,Intertegular span,4.1300,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Xylocopa_iris_8,Xylocopa,Xylocopa iris,Female,Morphology,Intertegular span,3.8200,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Ávila,,
,Xylocopa_iris_9,Xylocopa,Xylocopa iris,Female,Morphology,Intertegular span,3.9000,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Huelva,,
,Xylocopa_iris_10,Xylocopa,Xylocopa iris,Female,Morphology,Intertegular span,4.3600,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Dasypoda_cingulata_1,Dasypoda,Dasypoda cingulata,,Morphology,Intertegular span,3.023,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Dasypoda_cingulata_2,Dasypoda,Dasypoda cingulata,,Morphology,Intertegular span,2.699,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Dasypoda_cingulata_3,Dasypoda,Dasypoda cingulata,,Morphology,Intertegular span,2.739,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Dasypoda_cingulata_4,Dasypoda,Dasypoda cingulata,,Morphology,Weight,0.0372,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Dasypoda_cingulata_5,Dasypoda,Dasypoda cingulata,,Morphology,Weight,0.0466,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Osmia_cornuta_1,Osmia,Osmia cornuta,,Behaviour,Nest material,Plastic table,http://www.naturamediterraneo.com/forum/topic.asp?TOPIC_ID=227020,NA,xmiguelangelcolladox@gmail.com,Osmia cornuta nesting in a hole inside a plastic table,,
,Osmia_cornuta_2,Osmia,Osmia cornuta,,Behaviour,Nest material,Polycarbonate,http://notasdecampoyjardin.blogspot.com.es/2009/03/abejas-albanilas-en-el-policarbonato.html,Jesús Dorda,xmiguelangelcolladox@gmail.com,Osmias using a window to build their nests,,
,Osmia_cornuta_3,Osmia,Osmia cornuta,,Behaviour,Nest material,Cane,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,,,
,Osmia_cornuta_4,Osmia,Osmia cornuta,Male,Morphology,Intertegular span,3.150,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_cornuta_5,Osmia,Osmia cornuta,Male,Morphology,Intertegular span,2.920,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_cornuta_6,Osmia,Osmia cornuta,Male,Morphology,Intertegular span,3.560,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_cornuta_7,Osmia,Osmia cornuta,Male,Morphology,Intertegular span,3.170,M A Collado,Enrique Asensio,xmiguelangelcolladox@gmail.com,Zamora,,
,Osmia_cornuta_8,Osmia,Osmia cornuta,Male,Morphology,Intertegular span,3.790,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Ávila,,
,Osmia_cornuta_9,Osmia,Osmia cornuta,Female,Morphology,Intertegular span,3.900,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_cornuta_10,Osmia,Osmia cornuta,Female,Morphology,Intertegular span,4.200,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_cornuta_11,Osmia,Osmia cornuta,Female,Morphology,Intertegular span,4.330,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
,Osmia_cornuta_12,Osmia,Osmia cornuta,Female,Morphology,Intertegular span,4.170,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Valladolid,,
